,Review,Liked,aspect_category
805,"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.",negative,B004S0AQHA
806,I could eat their bruschetta all day it is devine.,positive,B004S0AQHA
807,Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,negative,B0030C9A60
808,"Lastly, the mozzarella sticks, they were the best thing we ordered.",positive,B0030C9A60
809,"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.",positive,B0030C9A60
810,The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,negative,B0030C9A60
811,The service was terrible though.,negative,B0030C9A60
812,"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",negative,B004ET7MG8
813,It was packed!!,negative,B004ET7MG8
814,I love this place.,positive,B004ET7MG8
815,I can say that the desserts were yummy.,positive,B004ET7MG8
816,The food was terrible.,negative,B004ET7MG8
817,The seasonal fruit was fresh white peach puree.,positive,B003AO5DLO
818,It kept getting worse and worse so now I'm officially done.,negative,B003AO5DLO
819,This place should honestly be blown up.,negative,B003AO5DLO
820,But I definitely would not eat here again.,negative,B003AO5DLO
821,Do not waste your money here!,negative,B003AO5DLO
822,I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.,positive,B003AO5DLO
823,The crêpe was delicate and thin and moist.,positive,B003AO5DLO
824,Awful service.,negative,B003AO5DLO
825,Won't ever go here again.,negative,B003AO5DLO
826,Food quality has been horrible.,negative,B003AO5DLO
827,For that price I can think of a few place I would have much rather gone.,negative,B0007NG56I
828,The service here is fair at best.,negative,B0007NG56I
829,"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.",negative,B0007NG56I
830,Do yourself a favor and stay away from this dish.,negative,B001EQ55BI
831,Very poor service.,negative,B000IXUISS
832,No one at the table thought the food was above average or worth the wait that we had for it.,negative,B000IXUISS
833,"Best service and food ever, Maria our server was so good and friendly she made our day.",positive,B001ELL9X6
834,They were excellent.,positive,B001ELL9X6
835,I paid the bill but did not tip because I felt the server did a terrible job.,negative,B001ELL9X6
836,Just had lunch here and had a great experience.,positive,B001ELL9X6
837,I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,negative,B001ELL9X6
838,Food is way overpriced and portions are fucking small.,negative,B001ELL9X6
839,I recently tried Caballero's and I have been back every week since!,positive,B001ELL9X6
840,"for 40 bucks a head, i really expect better food.",negative,B001ELL9X6
841,The food came out at a good pace.,positive,B001ELL9X6
842,"I ate there twice on my last visit, and especially enjoyed the salmon salad.",positive,B000UWSQT0
843,I won't be back.,negative,B000UWSQT0
844,We could not believe how dirty the oysters were!,negative,B000UWSQT0
845,This place deserves no stars.,negative,B000UWSQT0
846,I would not recommend this place.,negative,B000UWSQT0
847,"In fact I'm going to round up to 4 stars, just because she was so awesome.",positive,B0041CKRJC
848,"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.",negative,B0041CKRJC
849,"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!",negative,B0041CKRJC
850,the potatoes were great and so was the biscuit.,positive,B0041CKRJC
851,I probably would not go here again.,negative,B0007NG568
852,So flavorful and has just the perfect amount of heat.,positive,B0007NG568
853,The price is reasonable and the service is great.,positive,B0007NG568
854,"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",negative,B0007NG568
855,My fella got the huevos rancheros and they didn't look too appealing.,negative,B0007NG568
856,"Went in for happy hour, great list of wines.",positive,B000VKYKTG
857,Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,positive,B000VKYKTG
858,I probably won't be coming back here.,negative,B000VKYKTG
859,Worst food/service I've had in a while.,negative,B000VKYKTG
860,"This place is pretty good, nice little vibe in the restaurant.",positive,B000VKYKTG
861,Talk about great customer service of course we will be back.,positive,B000VKYKTG
862,"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",negative,B000VKYKTG
863,I love their fries and their beans.,positive,B000VKYKTG
864,Always a pleasure dealing with him.,positive,B000VKYKTG
865,"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval.",positive,B000VKYKTG
866,This place is awesome if you want something light and healthy during the summer.,positive,B000VKYKTG
867,"For sushi on the Strip, this is the place to go.",positive,B000VKYKTG
868,"The service was great, even the manager came and helped with our table.",positive,B000VKYKTG
869,The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,negative,B000VKYKTG
870,"I started this review with two stars, but I'm editing it to give it only one.",negative,B000VKYKTG
871,this is the worst sushi i have ever eat besides Costco's.,negative,B000VKYKTG
872,"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting.",positive,B000HDMUQ2
873,My boyfriend and i sat at the bar and had a completely delightful experience.,positive,B000HDMUQ2
874,Weird vibe from owners.,negative,B000HDMUQ2
875,There was hardly any meat.,negative,B000HDMUQ2
876,I've had better bagels from the grocery store.,negative,B000HDMUQ2
877,Go To Place for Gyros.,positive,B000HDMUQ2
878,"I love the owner/chef, his one authentic Japanese cool dude!",positive,B000HDMUQ2
879,"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless.",negative,B000HDMUQ2
880,I found a six inch long piece of wire in my salsa.,negative,B000HDMUQ2
881,"The service was terrible, food was mediocre.",negative,B000HDMUQ2
882,We definately enjoyed ourselves.,positive,B000HDMUQ2
883,I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,negative,B000HDMUQ2
884,"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.",negative,B000HDMUQ2
885,I had about two bites and refused to eat anymore.,negative,B000HDMUQ2
886,The service was extremely slow.,negative,B000HDMUQ2
887,"After 20 minutes wait, I got a table.",negative,B000HDMUQ2
888,Seriously killer hot chai latte.,positive,B000HDMUQ2
889,"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",negative,B000HDMUQ2
890,My boyfriend tried the Mediterranean Chicken Salad and fell in love.,positive,B000HDMUQ2
891,Their rotating beers on tap is also a highlight of this place.,positive,B000HDMUQ2
892,Pricing is a bit of a concern at Mellow Mushroom.,negative,B0041QIHC2
893,Worst Thai ever.,negative,B0041QIHC2
894,If you stay in Vegas you must get breakfast here at least once.,positive,B0041QIHC2
895,I want to first say our server was great and we had perfect service.,positive,B001ELL9XG
896,The pizza selections are good.,positive,B001ELL9XG
897,"I had strawberry tea, which was good.",positive,B001ELL9XG
898,Highly unprofessional and rude to a loyal patron!,negative,B002DXZI40
899,"Overall, a great experience.",positive,B000ER6YO0
900,Spend your money elsewhere.,negative,B000ER6YO0
901,Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!,positive,B000ER6YO0
902,The Buffet at Bellagio was far from what I anticipated.,negative,B000ER6YO0
903,"And the drinks are WEAK, people!",negative,B000ER6YO0
904,-My order was not correct.,negative,B000ER6YO0
905,"Also, I feel like the chips are bought, not made in house.",negative,B000ER6YO0
906,After the disappointing dinner we went elsewhere for dessert.,negative,B000ER6YO0
907,The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!,positive,B000ER6YO0
908,We won't be returning.,negative,B000ER6YO0
909,This is my new fav Vegas buffet spot.,positive,B000ER6YO0
910,I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,negative,B000ER6YO0
911,"Very, very sad.",negative,B000ER6YO0
912,"i felt insulted and disrespected, how could you talk and judge another human being like that?",negative,B000ER6YO0
913,"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",negative,B000ER6YO0
914,I'm not impressed with the concept or the food.,negative,B000ER6YO0
915,The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.,negative,B000ER6YO0
916,"There is really nothing for me at postinos, hope your experience is better",negative,B000ER6YO0
917,I got food poisoning here at the buffet.,negative,B000ER6YO0
918,They brought a fresh batch of fries and I was thinking yay something warm but no!,negative,B000ER6YO0
919,"What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.",negative,B000ER6YO0
920,"Needless to say, I won't be going back anytime soon.",negative,B000ER6YO0
921,This place is disgusting!,negative,B000ER6YO0
922,"Every time I eat here, I see caring teamwork to a professional degree.",positive,B000ER6YO0
923,The RI style calamari was a joke.,negative,B000ER6YO0
924,"However, there was so much garlic in the fondue, it was barely edible.",negative,B000ER6YO0
925,"I could barely stomach the meal, but didn't complain because it was a business lunch.",negative,B000ER6YO0
926,"It was so bad, I had lost the heart to finish it.",negative,B000ER6YO0
927,It also took her forever to bring us the check when we asked for it.,negative,B000ER6YO0
928,We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!,negative,B000ER6YO0
929,Disappointing experience.,negative,B000ER6YO0
930,"The food is about on par with Denny's, which is to say, not good at all.",negative,B000ER6YO0
931,"If you want to wait for mediocre food and downright terrible service, then this is the place for you.",negative,B000ER6YO0
932,WAAAAAAyyyyyyyyyy over rated is all I am saying.,negative,B000ER6YO0
933,We won't be going back.,negative,B000ER6YO0
934,The place was fairly clean but the food simply wasn't worth it.,negative,B000ER6YO0
935,This place lacked style!!,negative,B000ER6YO0
936,"The sangria was about half of a glass wine full and was $12, ridiculous.",negative,B000ER6YO0
937,Don't bother coming here.,negative,B000ER6YO0
938,"The meat was pretty dry, I had the sliced brisket and pulled pork.",negative,B000ER6YO0
939,"The building itself seems pretty neat, the bathroom is pretty trippy, but I wouldn't eat here again.",negative,B000ER6YO0
940,It was equally awful.,negative,B000ER6YO0
941,Probably not in a hurry to go back.,negative,B000ER6YO0
942,very slow at seating even with reservation.,negative,B000ER6YO0
943,Not good by any stretch of the imagination.,negative,B000ER6YO0
944,The cashew cream sauce was bland and the vegetables were undercooked.,negative,B000ER6YO0
945,"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",negative,B000ER6YO0
946,"It was a bit too sweet, not really spicy enough, and lacked flavor.",negative,B000ER6YO0
947,I was VERY disappointed!!,negative,B000ER6YO0
948,This place is horrible and way overpriced.,negative,B003KDCJYY
949,"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.",negative,B000MTIYF2
950,It wasn't busy at all and now we know why.,negative,B002E0RIHM
951,The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,negative,B002E0RIHM
952,"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.",negative,B002E0RIHM
953,Con: spotty service.,negative,B000S806VM
954,"The fries were not hot, and neither was my burger.",negative,B000S806VM
955,But then they came back cold.,negative,B000S806VM
956,"Then our food came out, disappointment ensued.",negative,B000S806VM
957,The real disappointment was our waiter.,negative,B000S806VM
958,My husband said she was very rude... did not even apologize for the bad food or anything.,negative,B000S806VM
959,The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.,negative,B000S806VM
960,"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",negative,B000S806VM
961,If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,negative,B000S806VM
962,She was quite disappointed although some blame needs to be placed at her door.,negative,B000S806VM
963,After all the rave reviews I couldn't wait to eat here......what a disappointment!,negative,B000YT5DBS
964,Del Taco is pretty nasty and should be avoided if possible.,negative,B005NEXK6Y
965,It's NOT hard to make a decent hamburger.,negative,B005NEXK6Y
966,But I don't like it.,negative,B005NEXK6Y
967,Hell no will I go back,negative,B00448SNSA
968,We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,negative,B0002XIB2Y
969,"I don't know what the big deal is about this place, but I won't be back ""ya'all"".",negative,B0002XIB2Y
970,I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,negative,B0002XIB2Y
971,The ambiance isn't much better.,negative,B0002XIB2Y
972,"Unfortunately, it only set us up for disapppointment with our entrees.",negative,B000F0G75W
973,The food wasn't good.,negative,B001EQ4DVQ
974,"Your servers suck, wait, correction, our server Heimer sucked.",negative,B001EQ4DVQ
975,What happened next was pretty....off putting.,negative,B001EQ4DVQ
976,"too bad cause I know it's family owned, I really wanted to like this place.",negative,B001EQ4DVQ
977,Overpriced for what you are getting.,negative,B001EQ4DVQ
978,I vomited in the bathroom mid lunch.,negative,B001EQ4DVQ
979,"I kept looking at the time and it had soon become 35 minutes, yet still no food.",negative,B001EQ4DVQ
980,"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.",negative,B001EQ4DVQ
981,We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,negative,B004DTNJU2
982,Food was below average.,negative,B004DTNJU2
983,It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,negative,B004DTNJU2
984,"All in all, Ha Long Bay was a bit of a flop.",negative,B00473OV2E
985,The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,negative,B00473OV2E
986,Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,negative,B0048IACB2
987,"It lacked flavor, seemed undercooked, and dry.",negative,B006F2NYI2
988,It really is impressive that the place hasn't closed down.,negative,B006F2NYI2
989,I would avoid this place if you are staying in the Mirage.,negative,B006F2NYI2
990,The refried beans that came with my meal were dried out and crusty and the food was bland.,negative,B006F2NYI2
991,Spend your money and time some place else.,negative,B006F2NYI2
992,A lady at the table next to us found a live green caterpillar In her salad.,negative,B006F2NYI2
993,the presentation of the food was awful.,negative,B006F2NYI2
994,I can't tell you how disappointed I was.,negative,B006F2NYI2
995,I think food should have flavor and texture and both were lacking.,negative,B006F2NYI2
996,Appetite instantly gone.,negative,B006F2NYI2
997,Overall I was not impressed and would not go back.,negative,B006F2NYI2
998,"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",negative,B006F2NYI2
999,"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",negative,B006F2NYI2
